,city,date,product,prodcode,quantity,weight_lb,price_usd
0,Boston,Jan 23,Avocado,4225,271,5.429556851997041,2.6479069384746254
1,Boston,Jan 23,Tomato,4796,264,3.1411608811700718,2.9975723173934967
2,Boston,Jan 23,Kiwi,4030,174,1.8759579439414666,4.631814929447137
3,Boston,Jan 23,Onion,4159,244,10.955730408011005,2.292970462841913
4,Boston,Jan 23,Blueberries,4240,281,4.865449505555444,4.87260157535784
5,Boston,Jan 23,Peach,4404,414,10.096123995701783,2.404601877811365
6,Boston,Jan 23,Apricot,3302,271,7.445591925014742,6.299766199453734
7,Boston,Jan 23,Avocado,4225,244,1.7773633628850805,5.589370685303584
8,Boston,Jan 23,Cucumber,4062,295,6.690544606815092,3.5866886554518715
9,Boston,Jan 23,Apple (Fuji),4131,371,8.501936339517124,3.2649974691681565
10,Boston,Jan 23,Apple (Gala),4134,321,2.665909329801798,3.1895629771985115
11,Boston,Jan 23,Tomato,4796,485,7.54064300977625,6.004925220063888
12,Boston,Jan 23,Cucumber,4062,429,8.996183858183214,6.165694726305083
13,Boston,Jan 23,Pear,4412,140,7.128472011908889,2.6617061132797972
14,Boston,Jan 23,Peach,4404,417,7.094624719093554,3.2428514333674685
15,Boston,Jan 23,Apple (Fuji),4131,258,9.90995756830089,3.9244026495376607
16,Boston,Jan 23,Kiwi,4030,188,2.4543578067794445,4.047179894894362
17,Boston,Jan 23,Lychee,4309,212,9.311456645419822,4.806492721335963
18,Boston,Jan 23,Pear,4412,318,6.368541674572044,3.115922529739328
19,Boston,Jan 23,Orange,4012,398,2.0117763520451266,1.7203963273437695
20,Boston,Jan 23,Tomato,4796,497,8.038663111790084,5.519911665492692
21,Boston,Jan 23,Peach,4404,118,5.382509840535931,6.465777967846953
22,Boston,Jan 23,Tomato,4796,207,7.6482482683379205,1.864227134990506
23,Boston,Jan 23,Banana,4011,147,3.4323657276807356,2.0192397403530777
24,Boston,Jan 23,Grapes,4272,347,8.453285803971813,5.494190323306248
25,Boston,Jan 23,Pear,4412,397,10.45103697059676,3.0388460146728904
26,Boston,Jan 23,Kiwi,4030,383,7.662280181096867,2.922912477189675
27,Boston,Jan 23,Grapes,4272,326,7.395250062434934,2.301036755112
28,Boston,Jan 23,Pear,4412,164,5.705165451671928,5.8899553987663245
29,Boston,Jan 23,Pear,4412,436,9.986308210506104,1.3363766252528877
30,Boston,Jan 23,Apple (Gala),4134,355,5.579871529038065,1.7541098962770776
31,Boston,Jan 23,Corn,4078,267,3.9016631063306706,6.20699789330829
32,Boston,Jan 23,Apple (Fuji),4131,438,6.748343858495355,5.190068501536735
33,Boston,Jan 23,Grapes,4272,158,10.34123389760498,5.8347364932065835
34,Boston,Jan 23,Banana,4011,397,10.15335398958996,2.3942220348631964
35,Boston,Jan 23,Corn,4078,366,10.211015384737403,4.829785453760997
36,Boston,Jan 23,Onion,4159,399,1.30360082895495,2.5458725510630758
37,Boston,Jan 23,Grapes,4272,354,9.044259364157917,2.971007681125775
38,Boston,Jan 23,Eggplant,4081,178,7.717149997013622,6.550625488883816
39,Boston,Jan 23,Pear,4412,341,1.7786419870099055,1.5748594912234695
40,Boston,Jan 23,Blueberries,4240,356,4.319234034046531,5.158070793282241
41,Boston,Jan 23,Apple (Gala),4134,384,9.513046366837807,2.1376744330860675
42,Boston,Jan 23,Banana,4011,483,7.773297349084169,3.630616850941442
43,Boston,Jan 23,Apricot,3302,387,1.4229632902657614,5.37737886516843
44,Boston,Jan 23,Pear,4412,197,5.989775066194125,2.0908166655804963
45,Boston,Jan 23,Kiwi,4030,145,9.196456187288277,3.4218421160709114
46,Boston,Jan 23,Blueberries,4240,451,9.759316589846277,2.5423381114611403
47,Boston,Jan 23,Mushroom,4650,412,7.701958081242629,3.3294990688096733
48,Boston,Jan 23,Onion,4159,393,2.7448306055273863,3.2144666930194945
49,Boston,Jan 23,Onion,4159,490,4.98014619157184,3.7497607904020698
50,Boston,Jan 23,Lemon,4958,164,7.606843310990372,2.7005906704813243
51,Boston,Jan 23,Strawberries,4323,161,10.868272551987321,5.365235961065628
52,Boston,Jan 23,Lemon,4958,201,4.871091969963164,1.7249395220074804
53,Boston,Jan 23,Apple (Fuji),4131,275,9.584303230093793,3.046874486631714
54,Boston,Jan 23,Blueberries,4240,375,6.768013517279178,5.501349054882303
55,Boston,Jan 23,Corn,4078,179,9.979195399349557,2.381943523674272
56,Boston,Jan 23,Apricot,3302,287,3.9658245083410297,5.526501239417121
57,Boston,Jan 23,Tomato,4796,360,1.4876027057180183,5.051059222687036
58,Boston,Jan 23,Corn,4078,379,7.270247577736154,1.993411605153233
59,Boston,Jan 23,Pear,4412,360,9.884898200142198,4.985133281233721
60,Boston,Jan 23,Orange,4012,280,7.887493879604154,5.581514936429449
61,Boston,Jan 23,Peach,4404,198,8.674032832798549,3.382846246729605
62,Boston,Jan 23,Orange,4012,129,4.610833800211549,3.5819760838290677
63,Boston,Jan 23,Eggplant,4081,239,1.5449919698061423,1.2058171433396638
64,Boston,Jan 23,Lychee,4309,468,7.572645502490923,6.0612839379115035
65,Boston,Jan 23,Avocado,4225,149,10.307307286630385,2.810243724868633
66,Boston,Jan 23,Blueberries,4240,400,7.04136396853719,6.013169759791345
67,Boston,Jan 23,Strawberries,4323,307,5.4243442882783715,1.7709866204764695
68,Boston,Jan 23,Avocado,4225,470,1.9951296807033942,1.3384929747786374
69,Boston,Jan 23,Strawberries,4323,172,6.181809184141458,3.8043321892851965
70,Boston,Jan 23,Mushroom,4650,153,5.634234329708852,1.3601128288079054
71,Boston,Jan 23,Corn,4078,318,1.598612638236955,1.2510390203911812
72,Boston,Jan 23,Orange,4012,437,2.315236267913133,1.7322357187746094
73,Boston,Jan 23,Tomato,4796,133,4.562017171597109,6.070008624251932
74,Boston,Jan 23,Eggplant,4081,363,4.320229532150552,5.880517064384185
75,Boston,Jan 23,Onion,4159,122,9.695070510497317,5.893612359324471
76,Boston,Jan 23,Peach,4404,390,7.303055798285642,3.629122835956514
77,Boston,Jan 23,Lemon,4958,303,8.248899937071839,2.4753199487691746
78,Boston,Jan 23,Kiwi,4030,289,5.4700849093031145,3.669503101054579
79,Boston,Jan 23,Banana,4011,204,9.192983671883121,6.337130607827567
80,Boston,Jan 23,Mushroom,4650,439,7.139250250486658,5.108874091668986
81,Boston,Jan 23,Avocado,4225,459,4.7540628423215825,6.096871426817962
82,Boston,Jan 23,Apricot,3302,142,7.826783770648763,1.7740847806213424
83,Boston,Jan 23,Cucumber,4062,247,10.683964388328604,4.753900765115396
84,Boston,Jan 23,Onion,4159,142,10.484987793536858,1.3271505784010516
85,Boston,Jan 23,Pear,4412,104,7.874498072545976,1.1588620539056138
86,Boston,Jan 23,Pear,4412,120,6.775015613553115,6.136145438207314
87,Boston,Jan 23,Strawberries,4323,290,7.444622736447491,6.577439884678461
88,Boston,Jan 23,Apricot,3302,206,6.306362993735821,4.1965941619360825
89,Boston,Jan 23,Apple (Gala),4134,367,3.6172975707333537,3.8369022937491537
90,Boston,Jan 23,Strawberries,4323,159,3.9397224121494223,6.074204921862111
91,Boston,Jan 23,Kiwi,4030,371,3.624819949967787,4.550795497745276
92,Boston,Jan 23,Kiwi,4030,277,5.375827743741684,3.3070574765093625
93,Boston,Jan 23,Pear,4412,438,6.666799346311018,1.21857668729499
94,Boston,Jan 23,Apple (Fuji),4131,163,2.5007550229318443,6.1290369074791675
95,Boston,Jan 23,Cucumber,4062,138,3.3245066745206717,3.0730197764001788
96,Boston,Jan 23,Banana,4011,479,3.6228723596548664,1.1262419393984602
